name,name_lower,chapter_idx,count
Помолюся,помолюс,0,1
Пополнела,пополнел,0,1
Посетили,посетил,0,1
Поспеешь,поспеешь,0,1
Поставив,поставив,0,2
Постою,посто,0,1
Постойте,постойт,0,2
Потемкинских,потемкинских,0,1
Потсдаме,потсдам,0,1
Потсдамском,потсдамск,0,1
Поужинаем,поужина,0,1
Почивать,почивать,0,1
Прасковья Савишна,прасковь савишн,0,1
Предводитель,предводитель,0,1
Предсказание Наташи,предсказани наташ,0,1
Предстоящий,предстоящий,0,1
Прейсиш-Эйлау,прейсиш-эйла,0,2
Прейсиш-Эйлауском,прейсиш-эйлауск,0,1
Прейсиш-Эйлауского,прейсиш-эйлауского,0,1
Преображенском,преображенск,0,1
Преображенского,преображенского,0,1
Преображенскому,преображенском,0,1
Пречистенским,пречистенским,0,1
Придворные,придворны,0,1
Приезжаю,приезжа,0,1
Приносят,приносят,0,1
Пристяжные,пристяжны,0,1
Притворяться,притворятьс,0,1
Прихожу,прихож,0,1
Пришедшая,пришедша,0,1
Пробочные,пробочны,0,1
Проглотив,проглотив,0,1
Проехали,проехал,0,1
Прозоровским,прозоровским,0,1
Прокофий,прокофий,0,2
Пропустив,пропустив,0,1
Противуборствовать,противуборствовать,0,1
Проходя,проход,0,1
Прочтя,прочт,0,1
Пруссаки,пруссак,0,1
Пруссию,прусси,0,4
Пршебышевского,пршебышевского,0,1
Пряничников,пряничник,0,1
Пряничникове,пряничников,0,1
Пудреные,пудрены,0,1
Пулю,пул,0,1
Пултуск,пултуск,0,3
Пущай,пущай,0,1
Пшаздецкой,пшаздецк,0,1
Пьеру,пьер,0,514
Пьер Безухов,пьер безух,0,1
Разгуляй,разгуляй,0,1
Распишитесь,распишитесь,0,1
Рассержен,рассержен,0,1
Растопчин,растопч,0,14
Растопчиным,растопчиным,0,1
Резва,резв,0,1
Решили,решил,0,1
Рима,рим,0,1
Рождества,рождеств,0,1
Рождество,рождество,0,1
Рожество,рожество,0,1
Розенкампф,розенкампф,0,1
Рому,ром,0,1
Росс,росс,0,1
России,росси,0,14
Российской,российск,0,1
Ростов,рост,0,223
Ростовы,ростов,0,63
Ростовской,ростовск,0,1
Ростовская,ростовска,0,1
Ростовского,ростовского,0,1
Ростовым,ростовым,0,15
Ростовых,ростовых,0,68
Рубленная,рубленна,0,1
Ругая,руга,0,1
Ругай,ругай,0,6
Ругаюшка,ругаюшк,0,2
Румянцова,румянц,0,1
Рязань,рязань,0,1
Сo,сo,0,1
Савишной,савишн,0,1
Садитесь,садитесь,0,1
Сашинет,сашинет,0,2
Св,св,0,3
Свист,свист,0,1
Свисток,свисток,0,1
Седлай,седлай,0,1
Седморецкий,седморецкий,0,1
Седьмую,седьму,0,1
Сельские,сельски,0,1
Семейная,семейна,0,1
Семену,семен,0,14
"Семен
Чекмарь",семен чекмарь,0,1
Сенату,сенат,0,2
Сия,си,0,1
Сибири,сибир,0,1
Сибирь,сибирь,0,3
Сивцева Вражка,сивц вражк,0,1
Сидорыч,сидорыч,0,1
Сияние,сияни,0,1
Сказывают,сказывают,0,1
Славь,славь,0,1
Служу,служ,0,1
Слушаю,слуша,0,2
Смеется,смеетс,0,1
Смоленска,смоленск,0,1
Смольянинова,смольянин,0,2
Собачью Площадку,собачь площадк,0,1
Согнутая,согнута,0,1
Сокольников,сокольник,0,1
Сокольниках,сокольниках,0,1
Сокольницкий,сокольницкий,0,1
Солдатам,солдатам,0,1
Соломона,соломон,0,2
Соне,сон,0,228
Сонюшка,сонюшк,0,3
Сосну,сосн,0,1
Составились,составились,0,1
Спой,сп,0,1
Сперанском,сперанск,0,5
Сперанский,сперанский,0,33
Сперанским,сперанским,0,5
Сперанского,сперанского,0,28
Сперанскому,сперанском,0,7
Староста,старост,0,1
Степке,степк,0,1
Столыпин,столып,0,4
Строгонова,строгон,0,1
Строителе,строител,0,1
Суворова,сувор,0,4
Суворовски,суворовск,0,1
Суворовских,суворовских,0,1
